Long_Entrada,Tiempo_ms,Tipo
1,0.000451,Random
1,0.000123,Random
1,8.2e-05,Random
1,8.1e-05,Random
1,0.000103,Random
1,8.1e-05,Random
1,8.1e-05,Random
1,8.1e-05,Random
1,8.1e-05,Random
1,8.2e-05,Random
1,8.2e-05,Random
1,9e-05,Random
1,0.000105,Random
1,8.1e-05,Random
1,8.2e-05,Random
1,8.1e-05,Random
1,8.1e-05,Random
1,8.2e-05,Random
1,8.2e-05,Random
1,8.1e-05,Random
1,8.3e-05,Random
1,8.1e-05,Random
1,8.2e-05,Random
1,8.1e-05,Random
1,8.1e-05,Random
1,8.1e-05,Random
1,8.2e-05,Random
1,8.1e-05,Random
1,8.1e-05,Random
1,8.1e-05,Random
1,8.2e-05,Random
1,8.1e-05,Random
1,8.3e-05,Random
1,8.2e-05,Random
1,8.2e-05,Random
1,8.2e-05,Random
1,8.1e-05,Random
1,8.1e-05,Random
1,8.1e-05,Random
1,8.1e-05,Random
2,0.000156,Random
2,0.000166,Random
2,0.000144,Random
2,9.7e-05,Random
2,0.000125,Random
2,0.000112,Random
2,0.000135,Random
2,0.000105,Random
2,0.000117,Random
2,0.000117,Random
2,0.000111,Random
2,0.000124,Random
2,0.000113,Random
2,0.000107,Random
2,0.000112,Random
2,0.000116,Random
2,0.000113,Random
2,0.000113,Random
2,0.000117,Random
2,0.000125,Random
2,0.000113,Random
2,0.000116,Random
2,0.000116,Random
2,0.000114,Random
2,0.000112,Random
2,0.000105,Random
2,0.000108,Random
2,0.000113,Random
2,0.000108,Random
2,0.000117,Random
2,0.000116,Random
2,0.000116,Random
2,0.000113,Random
2,0.000116,Random
2,0.000115,Random
2,0.000128,Random
2,0.000114,Random
2,0.000105,Random
2,0.000114,Random
2,0.000117,Random
3,0.000356,Random
3,0.000194,Random
3,0.000169,Random
3,0.000276,Random
3,0.00017,Random
3,0.000203,Random
3,0.000198,Random
3,0.000174,Random
3,0.000163,Random
3,0.00016,Random
3,0.000142,Random
3,0.000203,Random
3,0.00019,Random
3,0.000147,Random
3,0.000152,Random
3,0.000174,Random
3,0.000153,Random
3,0.00015,Random
3,0.000149,Random
3,0.000138,Random
3,0.000161,Random
3,0.00022,Random
3,0.000165,Random
3,0.000201,Random
3,0.000144,Random
3,0.000163,Random
3,0.000165,Random
3,0.000144,Random
3,0.000143,Random
3,0.000161,Random
3,0.00014,Random
3,0.000149,Random
3,0.000142,Random
3,0.000141,Random
3,0.000202,Random
3,0.000159,Random
3,0.000143,Random
3,0.00016,Random
