Long_Entrada,Tiempo_ms,Tipo
1,0.004837,Random
1,0.001739,Random
1,0.001553,Random
1,0.001564,Random
1,0.001456,Random
1,0.001472,Random
1,0.001486,Random
1,0.001474,Random
1,0.001451,Random
1,0.001465,Random
1,0.001483,Random
1,0.001519,Random
1,0.001459,Random
1,0.001467,Random
1,0.001466,Random
1,0.001458,Random
1,0.001451,Random
1,0.001452,Random
1,0.001442,Random
1,0.001434,Random
1,0.001429,Random
1,0.001496,Random
1,0.001469,Random
1,0.001423,Random
1,0.001438,Random
1,0.001488,Random
1,0.001439,Random
1,0.001492,Random
1,0.001435,Random
1,0.001458,Random
1,0.001444,Random
1,0.001443,Random
1,0.001414,Random
1,0.001429,Random
1,0.001465,Random
1,0.001432,Random
1,0.001448,Random
1,0.001429,Random
1,0.001442,Random
1,0.001419,Random
1,0.001445,Random
1,0.001461,Random
1,0.001467,Random
1,0.001446,Random
1,0.001443,Random
1,0.001425,Random
1,0.001415,Random
1,0.001492,Random
1,0.00147,Random
1,0.001453,Random
1,0.001458,Random
1,0.001425,Random
1,0.00142,Random
1,0.00146,Random
1,0.00146,Random
1,0.001461,Random
1,0.001474,Random
1,0.001424,Random
1,0.001465,Random
1,0.001424,Random
1,0.001447,Random
1,0.001446,Random
1,0.001466,Random
1,0.001474,Random
1,0.001429,Random
1,0.001441,Random
1,0.001446,Random
1,0.001434,Random
1,0.001425,Random
1,0.001447,Random
1,0.001416,Random
1,0.001471,Random
1,0.001436,Random
1,0.001464,Random
1,0.001468,Random
1,0.001442,Random
1,0.001431,Random
1,0.001464,Random
1,0.001422,Random
1,0.001491,Random
2,0.003277,Random
2,0.003055,Random
2,0.002928,Random
2,0.002868,Random
2,0.002823,Random
2,0.002791,Random
2,0.002866,Random
2,0.002759,Random
2,0.002812,Random
2,0.002764,Random
2,0.002809,Random
2,0.002769,Random
2,0.002804,Random
2,0.002766,Random
2,0.002806,Random
2,0.002814,Random
2,0.002782,Random
2,0.002784,Random
2,0.002787,Random
2,0.002775,Random
2,0.00279,Random
2,0.002798,Random
2,0.002761,Random
2,0.002807,Random
2,0.002782,Random
2,0.002776,Random
2,0.00282,Random
2,0.002747,Random
2,0.002803,Random
2,0.00278,Random
2,0.002777,Random
2,0.002758,Random
2,0.002783,Random
2,0.002791,Random
2,0.002832,Random
2,0.002802,Random
2,0.00279,Random
2,0.002803,Random
2,0.002793,Random
2,0.002784,Random
2,0.002793,Random
2,0.002825,Random
2,0.002739,Random
2,0.00278,Random
2,0.002745,Random
2,0.002845,Random
2,0.002753,Random
2,0.002817,Random
2,0.002801,Random
2,0.002762,Random
2,0.002749,Random
2,0.002762,Random
2,0.002785,Random
2,0.002778,Random
2,0.002761,Random
2,0.002756,Random
2,0.002773,Random
2,0.002803,Random
2,0.002805,Random
2,0.00277,Random
2,0.002741,Random
2,0.002804,Random
2,0.002779,Random
2,0.002822,Random
2,0.002789,Random
2,0.002777,Random
2,0.002814,Random
2,0.002803,Random
2,0.002746,Random
2,0.002798,Random
2,0.002786,Random
2,0.002781,Random
2,0.002771,Random
2,0.002801,Random
2,0.002765,Random
2,0.002793,Random
2,0.002787,Random
2,0.002769,Random
2,0.002773,Random
2,0.002755,Random
3,0.005414,Random
3,0.005317,Random
3,0.005109,Random
3,0.005116,Random
3,0.004904,Random
3,0.005066,Random
3,0.004993,Random
3,0.004847,Random
3,0.004803,Random
3,0.004859,Random
3,0.004971,Random
3,0.004982,Random
3,0.004987,Random
3,0.004939,Random
3,0.004859,Random
3,0.005016,Random
3,0.004897,Random
3,0.004788,Random
3,0.004899,Random
3,0.004899,Random
3,0.004804,Random
3,0.004855,Random
3,0.004801,Random
3,0.005,Random
3,0.004779,Random
3,0.004891,Random
3,0.00478,Random
3,0.004857,Random
3,0.004811,Random
3,0.00481,Random
3,0.004857,Random
3,0.004815,Random
3,0.00481,Random
3,0.004818,Random
3,0.004857,Random
3,0.004857,Random
3,0.004828,Random
3,0.004877,Random
3,0.004809,Random
3,0.004812,Random
3,0.0048,Random
3,0.004836,Random
3,0.004863,Random
3,0.00486,Random
3,0.004857,Random
3,0.004825,Random
3,0.00477,Random
3,0.004812,Random
3,0.00482,Random
3,0.004826,Random
3,0.004811,Random
3,0.004779,Random
3,0.004822,Random
3,0.004807,Random
3,0.004871,Random
3,0.004795,Random
3,0.004845,Random
3,0.004767,Random
3,0.004841,Random
3,0.004883,Random
3,0.004777,Random
3,0.004821,Random
3,0.004889,Random
3,0.00481,Random
3,0.004841,Random
3,0.004896,Random
3,0.004865,Random
3,0.004824,Random
3,0.004845,Random
3,0.004883,Random
3,0.004846,Random
3,0.004804,Random
3,0.004814,Random
3,0.004833,Random
3,0.004862,Random
3,0.004805,Random
3,0.004782,Random
3,0.004779,Random
3,0.004822,Random
3,0.004802,Random
4,0.008413,Random
4,0.008041,Random
4,0.007986,Random
4,0.007773,Random
4,0.007877,Random
4,0.007961,Random
4,0.00786,Random
4,0.007924,Random
4,0.007781,Random
4,0.007849,Random
4,0.007882,Random
4,0.007957,Random
4,0.007819,Random
4,0.034383,Random
4,0.007913,Random
4,0.007613,Random
4,0.007722,Random
4,0.007692,Random
4,0.007801,Random
4,0.007758,Random
4,0.013434,Random
4,0.007738,Random
4,0.007733,Random
4,0.007724,Random
4,0.007744,Random
4,0.007804,Random
4,0.007647,Random
4,0.007817,Random
4,0.007729,Random
4,0.007684,Random
4,0.007838,Random
4,0.007649,Random
4,0.007748,Random
4,0.007619,Random
4,0.007643,Random
4,0.00758,Random
4,0.007688,Random
4,0.007645,Random
4,0.007934,Random
4,0.007614,Random
4,0.007643,Random
4,0.007655,Random
4,0.007585,Random
4,0.00762,Random
4,0.007605,Random
4,0.00769,Random
4,0.007701,Random
4,0.007728,Random
4,0.007621,Random
4,0.007634,Random
4,0.00755,Random
4,0.007578,Random
4,0.00776,Random
4,0.007749,Random
4,0.007731,Random
4,0.007603,Random
4,0.007528,Random
4,0.007666,Random
4,0.007728,Random
4,0.007646,Random
4,0.007662,Random
4,0.007812,Random
4,0.0077,Random
4,0.007689,Random
4,0.007604,Random
4,0.007648,Random
4,0.00761,Random
4,0.007589,Random
4,0.00776,Random
4,0.007636,Random
4,0.007674,Random
4,0.007691,Random
