Long_Entrada,Tiempo_ms,Tipo
1,0.000349,Random
1,8.3e-05,Random
1,8.2e-05,Random
1,8.2e-05,Random
1,8.3e-05,Random
1,8.2e-05,Random
1,8.2e-05,Random
1,8.2e-05,Random
1,6.7e-05,Random
1,8.2e-05,Random
1,8.2e-05,Random
1,8.3e-05,Random
1,5.9e-05,Random
1,8.2e-05,Random
1,8.2e-05,Random
1,8.2e-05,Random
1,8.2e-05,Random
1,8.2e-05,Random
1,8.2e-05,Random
1,5.8e-05,Random
1,6.7e-05,Random
1,6.7e-05,Random
1,8.2e-05,Random
1,8.2e-05,Random
1,8.3e-05,Random
1,8.2e-05,Random
1,8.2e-05,Random
1,8.3e-05,Random
1,6.6e-05,Random
1,6.5e-05,Random
1,8.2e-05,Random
1,5.8e-05,Random
1,5.8e-05,Random
1,8.3e-05,Random
1,8.2e-05,Random
1,8.2e-05,Random
1,8.3e-05,Random
1,8.1e-05,Random
1,8.2e-05,Random
1,8.2e-05,Random
6,0.004725,Random
6,0.004224,Random
6,0.004899,Random
6,0.004709,Random
6,0.004761,Random
6,0.004513,Random
6,0.00438,Random
6,0.004595,Random
6,0.005009,Random
6,0.004372,Random
6,0.004534,Random
6,0.004382,Random
6,0.004822,Random
6,0.004912,Random
6,0.004866,Random
6,0.004617,Random
6,0.004138,Random
6,0.004624,Random
6,0.004309,Random
6,0.004272,Random
6,0.004277,Random
6,0.004291,Random
6,0.004716,Random
6,0.004953,Random
6,0.004094,Random
6,0.003697,Random
6,0.004835,Random
6,0.004511,Random
6,0.004662,Random
6,0.004634,Random
6,0.004607,Random
6,0.004544,Random
6,0.004663,Random
6,0.004476,Random
6,0.004593,Random
6,0.00418,Random
6,0.00476,Random
6,0.004427,Random
6,0.004342,Random
6,0.004668,Random
11,0.130728,Random
11,0.092924,Random
11,0.104336,Random
11,0.11689,Random
11,0.144071,Random
11,0.084612,Random
11,0.073985,Random
11,0.156239,Random
11,0.078057,Random
11,0.093895,Random
11,0.091144,Random
11,0.091775,Random
11,0.079226,Random
11,0.077366,Random
11,0.085675,Random
11,0.099294,Random
11,0.14106,Random
11,0.14612,Random
11,0.102804,Random
11,0.102798,Random
11,0.086358,Random
11,0.103795,Random
11,0.076649,Random
11,0.081886,Random
11,0.080176,Random
11,0.079675,Random
11,0.087432,Random
11,0.083311,Random
11,0.101762,Random
11,0.08838,Random
11,0.11886,Random
11,0.078144,Random
11,0.116755,Random
11,0.106351,Random
11,0.101225,Random
11,0.09624,Random
11,0.128298,Random
11,0.104473,Random
11,0.105103,Random
11,0.087533,Random
16,0.971958,Random
16,2.53408,Random
16,2.22211,Random
16,1.0149,Random
16,1.54735,Random
16,1.05453,Random
16,1.76623,Random
16,0.925438,Random
16,1.07579,Random
16,0.853239,Random
16,1.11788,Random
16,1.3368,Random
16,1.24796,Random
16,1.24391,Random
16,2.31146,Random
16,1.17597,Random
16,1.33333,Random
16,1.95537,Random
16,2.11893,Random
16,1.20577,Random
16,1.43789,Random
16,1.15149,Random
16,2.25875,Random
16,1.60149,Random
16,1.44004,Random
16,1.35242,Random
16,1.0355,Random
16,1.60664,Random
16,2.18201,Random
16,1.57868,Random
16,0.786688,Random
16,0.974966,Random
16,1.13581,Random
16,1.448,Random
16,1.09572,Random
16,1.25796,Random
16,0.89027,Random
16,0.830074,Random
16,0.81718,Random
16,1.21601,Random
21,11.2893,Random
21,14.4663,Random
21,15.7931,Random
21,15.2183,Random
21,17.1244,Random
21,12.939,Random
21,9.75204,Random
21,21.527,Random
21,11.9474,Random
21,10.7878,Random
21,9.4774,Random
21,15.1056,Random
21,10.4883,Random
21,15.5995,Random
21,19.4455,Random
21,17.0409,Random
21,10.9271,Random
21,17.9729,Random
21,14.9001,Random
21,9.21895,Random
21,8.82863,Random
21,8.8675,Random
21,9.09379,Random
21,12.1246,Random
21,9.03241,Random
21,11.9921,Random
21,12.8423,Random
21,10.9895,Random
21,8.76536,Random
21,10.7958,Random
21,15.1898,Random
21,10.4944,Random
21,8.59319,Random
21,6.85589,Random
21,11.4047,Random
21,12.6855,Random
21,28.6941,Random
21,7.66563,Random
21,8.38139,Random
21,13.6767,Random
26,177.257,Random
26,130.766,Random
26,76.3231,Random
26,209.899,Random
26,112.811,Random
26,144.735,Random
26,37.2691,Random
26,80.6479,Random
26,52.8861,Random
26,161.199,Random
26,88.6966,Random
26,76.6453,Random
26,88.341,Random
26,184.87,Random
26,59.1353,Random
26,70.7937,Random
26,107.723,Random
26,84.7531,Random
26,66.9163,Random
26,112.744,Random
26,69.3821,Random
26,122.078,Random
26,131.966,Random
26,72.9951,Random
26,154.788,Random
26,70.8944,Random
26,133.102,Random
26,86.4212,Random
26,110.322,Random
26,45.7324,Random
26,187.732,Random
26,120.688,Random
26,78.8602,Random
26,81.4204,Random
26,108.03,Random
26,62.1769,Random
26,116.726,Random
26,68.1773,Random
26,65.4186,Random
26,80.4967,Random
31,667.337,Random
31,462.645,Random
31,821.956,Random
31,467.125,Random
31,1062.92,Random
31,391.423,Random
31,804.687,Random
31,821.571,Random
31,576.052,Random
31,734.959,Random
31,1741.45,Random
31,286.603,Random
31,632.366,Random
31,400.509,Random
31,587.114,Random
31,1396.72,Random
31,523.457,Random
31,415.546,Random
31,655.848,Random
31,727.433,Random
31,880.384,Random
31,352.446,Random
31,828.724,Random
31,1190.33,Random
31,697.183,Random
31,574.557,Random
31,488.491,Random
31,751.925,Random
31,802.191,Random
31,622.501,Random
31,301.508,Random
31,1499,Random
31,694.288,Random
31,1123.63,Random
31,683.391,Random
31,422.727,Random
31,427.068,Random
31,276.626,Random
31,279.86,Random
31,592.151,Random
36,2820.87,Random
36,2151.56,Random
36,2228.54,Random
36,2717.98,Random
36,2290.34,Random
36,1510.91,Random
36,2217.88,Random
36,2591.24,Random
36,2581.17,Random
36,1929.59,Random
36,1304.76,Random
36,4355.48,Random
36,3913.73,Random
36,2305.23,Random
36,6994.69,Random
36,1354.19,Random
36,2834.55,Random
36,6443.51,Random
36,5489.56,Random
36,1926.1,Random
36,2244.08,Random
36,1783.61,Random
36,5467.62,Random
36,3554.19,Random
36,5999.9,Random
36,5719.55,Random
36,1324.04,Random
36,4046.01,Random
36,1754.34,Random
36,3903.36,Random
36,2152.79,Random
36,4316.89,Random
